Symbol,Name,Definition
#AACT,AU.Action,[hbar]
#ABMA,AU.BohrMagneton,[mu_B]
#AECU,AU.ElectricCurrent,[e]*E_h/[hbar]
#AECH,AU.ElectricCharge,[e]
#AECD,AU.ElectricChargeDensity,[e]/[a_0]3
#AEPO,AU.ElectricPotential,E_h/[e]
#AEDM,AU.ElectricDipoleMoment,[e]*[a_0]
#AEFI,AU.ElectricField,E_h/([e]*[a_0])
#AEFG,AU.ElectricFieldGradient,E_h/([e]*[a_0]2)
#AEPL,AU.ElectricPolarizability,[e]2*[a_0]2/E_h
#AELC,AU.ElementaryCharge,[e]
#AENE,AU.Energy,E_h
#AFOR,AU.Force,E_h/[a_0]
#AIRR,AU.Irradience,E_h2/([hbar]*[a_0]2)
#ALEN,AU.Length,[a_0]
#AMFD,AU.MagneticFluxDensity,[hbar]/([e]*[a_0]2)
#AMDM,AU.MagneticDipoleMoment,[hbar]*[e]/[m_e]
#AMAG,AU.Magnetizability,[e]2*[a_0]2/[m_e]
#AMAS,AU.Mass,[m_e]
#AMOM,AU.Momentum,[hbar]/[a_0]
#APER,AU.Permittivity,[e]2/([a_0]*E_h)
#APRE,AU.Pressure,E_h/[a_0]3
#ATIM,AU.Time,[hbar]/E_h
#AVEL,AU.Velocity,[a_0]*E_h/[hbar]
