Symbol,Name,Definition,Dimensions
#SADO,SI.AbsorbedDose,Gy,"[2, 0, -2, 0, 0, 0, 0, 0]"
#SACC,SI.Acceleration,m/s2,"[1, 0, -2, 0, 0, 0, 0, 0]"
#SACT,SI.Action,J*s,"[2, 1, -1, 0, 0, 0, 0, 0]"
#SAOS,SI.AmountOfSubstance,mol,"[0, 0, 0, 0, 0, 0, 1, 0]"
#SAFR,SI.AngularFrequency,rad/s,"[0, 0, -1, 0, 0, 0, 0, 1]"
#SBMA,SI.BohrMagneton,[mu_B],"[0, 1, 0, 0, 0, 0, 0, 0]"
#SCAP,SI.Capacitance,F,"[-2, -1, 2, 0, 2, 0, 0, 0]"
#SCAC,SI.CatalyticActivity,kat,"[0, 0, -1, 0, 0, 0, 1, 0]"
#SCON,SI.Conductance,S,"[-2, -1, 1, 0, 2, 0, 0, 0]"
#SDVI,SI.DynamicViscosity,Pa*s,"[-1, 1, -1, 0, 0, 0, 0, 0]"
#SECU,SI.ElectricCurrent,A,"[0, 0, -1, 0, 1, 0, 0, 0]"
#SECH,SI.ElectricCharge,C,"[0, 0, 0, 0, 1, 0, 0, 0]"
#SECD,SI.ElectricChargeDensity,C/m3,"[-3, 0, 0, 0, 1, 0, 0, 0]"
#SEPO,SI.ElectricPotential,V,"[2, 1, -2, 0, -1, 0, 0, 0]"
#SEDM,SI.ElectricDipoleMoment,C*m,"[1, 0, 0, 0, 1, 0, 0, 0]"
#SEDF,SI.ElectricDisplField,C*m2,"[2, 0, 0, 0, 1, 0, 0, 0]"
#SEFI,SI.ElectricField,V/m,"[1, 1, -2, 0, -1, 0, 0, 0]"
#SEFG,SI.ElectricFieldGradient,V/m2,"[0, 1, -2, 0, -1, 0, 0, 0]"
#SEFL,SI.ElectricFlux,V*m,"[3, 1, -2, 0, -1, 0, 0, 0]"
#SEPL,SI.ElectricPolarizability,m2/J,"[0, -1, 2, 0, 0, 0, 0, 0]"
#SEFO,SI.ElectromotiveForce,V,"[2, 1, -2, 0, -1, 0, 0, 0]"
#SELC,SI.ElementaryCharge,[e],"[0, 0, 0, 0, 1, 0, 0, 0]"
#SENE,SI.Energy,J,"[2, 1, -2, 0, 0, 0, 0, 0]"
#SEDO,SI.EquivalentDose,Sv,"[2, 0, -2, 0, 0, 0, 0, 0]"
#SFOR,SI.Force,N,"[1, 1, -2, 0, 0, 0, 0, 0]"
#SFRE,SI.Frequency,Hz,"[0, 0, -1, 0, 0, 0, 0, 0]"
#SHEA,SI.Heat,J,"[2, 1, -2, 0, 0, 0, 0, 0]"
#SILL,SI.Illuminance,lx,"[-2, 0, 0, 0, 0, 1, 0, 2]"
#SIMP,SI.Impedance,Ohm,"[2, 1, -1, 0, -2, 0, 0, 0]"
#SIND,SI.Inductance,H,"[2, 1, 0, 0, -2, 0, 0, 0]"
#SIRR,SI.Irradience,W/m2,"[0, 1, -3, 0, 0, 0, 0, 0]"
#SKVI,SI.KinematicViscosity,m2/s,"[2, 0, -1, 0, 0, 0, 0, 0]"
#SLEN,SI.Length,m,"[1, 0, 0, 0, 0, 0, 0, 0]"
#SLIN,SI.LuminousIntensity,cd,"[0, 0, 0, 0, 0, 1, 0, 0]"
#SLFL,SI.LuminousFlux,lm,"[0, 0, 0, 0, 0, 1, 0, 2]"
#SMFI,SI.MagneticField,A/m,"[-1, 0, -1, 0, 1, 0, 0, 0]"
#SMFL,SI.MagneticFlux,Wb,"[2, 1, -1, 0, -1, 0, 0, 0]"
#SMFD,SI.MagneticFluxDensity,T,"[0, 1, -1, 0, -1, 0, 0, 0]"
#SMDM,SI.MagneticDipoleMoment,J/T,"[2, 0, -1, 0, 1, 0, 0, 0]"
#SMAG,SI.Magnetizability,J/T2,"[2, -1, 0, 0, 2, 0, 0, 0]"
#SMAS,SI.Mass,kg,"[0, 1, 0, 0, 0, 0, 0, 0]"
#SMOM,SI.Momentum,kg*m/s,"[1, 1, -1, 0, 0, 0, 0, 0]"
#SPER,SI.Permittivity,F/m,"[-3, -1, 2, 0, 2, 0, 0, 0]"
#SPAN,SI.PlaneAngle,rad,"[0, 0, 0, 0, 0, 0, 0, 1]"
#SPOW,SI.Power,W,"[2, 1, -3, 0, 0, 0, 0, 0]"
#SPRE,SI.Pressure,Pa,"[-1, 1, -2, 0, 0, 0, 0, 0]"
#SRFL,SI.RadiantFlux,W,"[2, 1, -3, 0, 0, 0, 0, 0]"
#SRAD,SI.Radioactivity,Bq,"[0, 0, -1, 0, 0, 0, 0, 0]"
#SREA,SI.Reactance,Ohm,"[2, 1, -1, 0, -2, 0, 0, 0]"
#SRES,SI.Resistance,Ohm,"[2, 1, -1, 0, -2, 0, 0, 0]"
#SREI,SI.Resistivity,Ohm*m,"[3, 1, -1, 0, -2, 0, 0, 0]"
#SSAN,SI.SolidAnge,sr,"[0, 0, 0, 0, 0, 0, 0, 2]"
#SSTR,SI.Stress,Pa,"[-1, 1, -2, 0, 0, 0, 0, 0]"
#STEM,SI.Temperature,K,"[0, 0, 0, 1, 0, 0, 0, 0]"
#STIM,SI.Time,s,"[0, 0, 1, 0, 0, 0, 0, 0]"
#SVEL,SI.Velocity,m/s,"[1, 0, -1, 0, 0, 0, 0, 0]"
#SVOL,SI.Voltage,V,"[2, 1, -2, 0, -1, 0, 0, 0]"
#SWAV,SI.Wavenumber,m-1,"[-1, 0, 0, 0, 0, 0, 0, 0]"
#SWEI,SI.Weight,N,"[1, 1, -2, 0, 0, 0, 0, 0]"
#SWOR,SI.Work,J,"[2, 1, -2, 0, 0, 0, 0, 0]"
