Symbol,Name,Definition,Prefixes
"au, AU",astr. unit,149597.870691*Mm,
ly,light-year,[c]*yr_j,"kly, Mly, Gly"
pc,parsec,3.0857e16*m,"kpc, Mpc, Gpc, Tpc"
Ao,Angstrom,1e-10*m,"mAo, kAo"
twip,US twip,17.6388888*um,
mil,US mil,25.4*um,
p,US point,352.778*um,
P,Poise,g/(cm*s),cP
in,US inch,25.4*mm,
ft,US foot,0.3048*m,
yd,US yard,0.9144*m,
mi,US mile,1.609344*km,
le,US league,4.828032*km,
"u, amu",atomic mass unit,1.6605402e-24*g,
Da,Dalton,u,
t,tonne,1e3*kg,"kt, mt, Gt"
oz,US ounce,28.349523125*g,
lb,US pound,453.59237*g,
ton,US ton,907.18474*kg,
min,minute,60*s,
h,hour,60*min,
day,day,24*h,
yr_t,tropical year,365.24219*day,"kyr_t, myr_t, Gyr_t"
yr_j,Julian year,365.25*day,"kyr_j, myr_j, Gyr_j"
yr_g,Gregorian year,365.2425*day,"kyr_g, myr_g, Gyr_g"
yr,year,yr_j,"kyr, myr, Gyr"
deg,angle degree,2*[pi]*rad/360,
',angle minute,deg/60,
'',angle second,'/60,
ar,are,100*m2,"car, dar, daar, har"
acre,US acre,4046.873*m2,
"l, L",liter,dm3,"all, all"
floz,US fluid ounce,29.5735295625*mL,
pt,US pint,473.176473*mL,
gal,US gallon,3.785411784*L,
bbl,US barrel,158.987294928*L,
J,Joule,N*m,all
eV,electronvolt,[e]*V,all
erg,erg,dyn*cm,
"Ha, E_h",Hartree,4.3597447222071e-18*J,"kHa, MHa, kE_h, ME_h"
Pa,Pascal,N/m2,all
atm,atm. pressure,101325*Pa,
bar,bar,100*kPa,"mbar, kbar"
Ba,Barye,0.1*Pa,
N,Newton,kg*m/s2,all
dyn,dyne,g*cm/s2,all
Gy,Gray,J/kg,
Sv,Sivert,J/kg,
T,Tesla,Wb/m2,all
G,Gauss,1e-4*T,all
Hz,Hertz,s-1,all
Bq,Becquerel,s-1,
W,Watt,J/s,all
hp,horse power,745.7*W,
mph,US miles per hour,0.44704*m/s,
kn,knot,0.514444*m/s,
St,Stokes,cm2/s,cSt
Ka,Kayser,cm-1,
D,Debye,3.33564e-30*C*m,all
sr,steradian,rad2,
lm,lumen,cd*sr,
A,Ampere,C/s,all
H,Henry,Wb/A,
Ohm,Ohm,V/A,all
Wb,Weber,V*s,
V,Volt,J/C,all
lx,lux,lm/m2,
F,Farad,C/V,all
S,Siemens,Ohm-1,all
kat,katal,mol/s,all
%,percent,1e-2,
ppth,promile,1e-3,
